,adjusted_arithmetic_mean_rank,hits_at_1,hits_at_3,hits_at_5,hits_at_10
PairRE,0.017864660366018997,0.021081804346419805,0.11376156315859359,0.1554434090421602,0.22066864592306096
ERMLP,0.018771526240877277,0.027579644074317445,0.07910613421945913,0.10972360773952804,0.16389043045421892
TransR,0.019340477229957104,0.012125782651772308,0.06367355207294195,0.08838730325181385,0.13187618525567477
DISMULT,0.03972547315403507,0.01586497703540531,0.03577812354236959,0.04989394408827665,0.07610320278639351
