,adjusted_arithmetic_mean_rank,hits_at_1,hits_at_3,hits_at_5,hits_at_10
DISMULT,0.02925396620311369,0.007809547801990175,0.01876810681446026,0.02701851618591762,0.04238569089305958
ERMLP,0.031073391717482777,0.008565310492505354,0.020909434437586596,0.028656002015367176,0.046164504345635474
PairRE,0.033369241538898524,0.004093714573623882,0.011903262375614057,0.01776042322710669,0.031490112104799094
TransR,0.03921120255827794,0.0012596044841919638,0.004219675022043078,0.007305706008313389,0.013981609774530798
